STPUMA	SERIALNO	SPORDER	ADJINC	PWGTP	SEX	RACE	AGE	COW	JWMNP	JWRIP	JWTR	MAR	REL	RETP	SCH	SCHG	SCHL	WAGP	WKHP	WKL	ESR	HISP	INDP	JWAP	JWDP	MSP	PAOC	OCCP	PINCP	POVPIP	POWPUMA	TYPE	IN_CMA
1703102	9170565443	1	999480	30	1	1	40	1	25	1	1	3	0	0	1	0	12	50000	40	1	1	1	8590	99	55	4	0	2630	50000	446	3490	1	1
1703102	9170565710	1	999480	22	2	1	30	1	15	1	1	1	0	0	1	0	10	13000	40	1	1	1	8190	91	49	1	3	3300	13000	175	3100	1	1
1703102	9170565710	2	999480	25	1	1	26	1	45	1	1	1	1	0	1	0	9	32000	50	1	1	1	8270	97	49	1	0	4220	32000	175	3490	1	1
1703102	9170565710	3	999480	33	2	1	6	0	0	0	0	5	2	0	2	2	2	0	0	0	0	1	0	0	0	0	0	0	0	175	0	1	1
1703102	9170565710	4	999480	34	1	1	4	0	0	0	0	5	2	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	175	0	1	1
1703102	9170565710	5	999480	32	1	1	1	0	0	0	0	5	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	175	0	1	1
1703102	9170567407	1	999480	7	1	1	33	1	30	1	1	1	0	0	3	7	13	85000	50	1	1	1	570	68	23	1	0	6350	87510	458	1500	1	1
1703102	9170567407	2	999480	7	2	1	33	1	0	0	0	1	1	0	1	0	13	12000	35	1	3	1	8470	0	0	1	1	2300	12000	458	0	1	1
1703102	9170567407	3	999480	9	1	1	4	0	0	0	0	5	2	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	458	0	1	1
1703102	9170567407	4	999480	9	2	1	3	0	0	0	0	5	2	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	458	0	1	1
1703102	9170580823	1	999480	93	1	8	25	1	30	0	12	3	0	0	1	0	9	30000	40	1	1	2	770	160	97	4	0	9130	30000	268	3100	1	1
1703102	9170580823	2	999480	101	2	1	34	1	15	1	1	5	10	0	1	0	11	20000	30	1	1	1	5380	97	55	6	4	4760	20000	178	3100	1	1
1703102	9170580823	3	999480	131	1	1	7	0	0	0	0	5	12	0	2	3	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1
1703102	9170584687	1	999480	30	1	8	39	1	30	1	1	1	0	0	1	0	6	30000	40	1	1	2	8870	84	39	1	0	7700	30000	104	3100	1	1
1703102	9170584687	2	999480	31	2	8	41	1	0	0	0	1	1	0	1	0	15	0	0	2	6	2	6990	0	0	1	3	800	0	104	0	1	1
1703102	9170584687	3	999480	28	1	8	16	0	0	0	0	5	2	0	2	5	7	0	0	3	6	2	0	0	0	6	0	0	0	104	0	1	1
1703102	9170584687	4	999480	33	1	8	11	0	0	0	0	5	2	0	2	4	3	0	0	0	0	2	0	0	0	0	0	0	0	104	0	1	1
1703102	9170584687	5	999480	36	2	8	9	0	0	0	0	5	2	0	2	4	3	0	0	0	0	2	0	0	0	0	0	0	0	104	0	1	1
1703102	9170584687	6	999480	25	1	8	4	0	0	0	0	5	2	0	2	1	2	0	0	0	0	2	0	0	0	0	0	0	0	104	0	1	1
1703102	9170584823	1	999480	27	2	1	87	0	0	0	0	2	0	7200	1	0	6	0	0	3	6	1	0	0	0	3	4	0	21400	208	0	1	1
1703102	9170587206	1	999480	51	2	1	26	1	45	1	1	1	0	0	2	6	11	38000	45	1	1	1	7680	109	61	1	4	820	38000	501	3200	1	1
